animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
frog,0,0,1,0,0,1,1,0,1,1,0,0,4,1,0,0,5
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
lobster,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,0,7
monkey,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
mosquito,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,6
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,0,7
penguin,0,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,2
pig,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
pigeon,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
